animal_id,color,date_of_birth,name,sex_upon_outcome
A684346,Orange Tabby,2014-07-07T00:00:00,,Intact Male
A666430,White/Brown,2012-11-06T00:00:00,Lucy,Spayed Female
A675708,Blue/White,2013-03-31T00:00:00,*Johnny,Neutered Male
A680386,White,2005-06-02T00:00:00,Monday,Neutered Male
A683115,Brown,2014-01-07T00:00:00,,Unknown
A664462,Brown/White,2013-06-03T00:00:00,*Edgar,Intact Male
A693700,Tan,2013-12-13T00:00:00,,Unknown
A692618,Brown,2011-11-23T00:00:00,*Ella,Spayed Female
A685067,Blue Tabby/White,2014-06-16T00:00:00,Lucy,Intact Female
A678580,White/Black,2014-03-26T00:00:00,*Frida,Spayed Female
A675405,Black/White,2013-03-27T00:00:00,Stella Luna,Spayed Female
A673652,Black/White,2012-02-28T00:00:00,Fancy,Neutered Male
A677679,Black,2014-03-07T00:00:00,Kash,Neutered Male
A640655,White,2009-04-27T00:00:00,Sandy,Spayed Female
A690350,Black,2006-10-18T00:00:00,Shy,Neutered Male
A680396,White/Black,2012-06-02T00:00:00,*Truman,Neutered Male
A674298,Brown Brindle/White,2013-03-11T00:00:00,*Newt,Neutered Male
A670420,Black/White,2013-12-16T00:00:00,,Intact Male
A692378,Black/White,2014-10-19T00:00:00,*Bonnie,Spayed Female
A684460,Brown Tabby,2014-06-02T00:00:00,Elsa,Spayed Female
A673952,Brown Tabby/White,2013-07-05T00:00:00,,Unknown
A686497,Black Tabby,2014-03-22T00:00:00,Chester,Neutered Male
A666660,Tan/White,2012-05-05T00:00:00,Dolly,Spayed Female
A687965,Orange Tabby,2014-08-03T00:00:00,*Oliver,Neutered Male
A668547,Black/White,2012-12-04T00:00:00,*Preston,Neutered Male
A689952,Brown Brindle,2013-10-11T00:00:00,Olive,Spayed Female
A669621,Brown Brindle/Black,2013-08-23T00:00:00,,Intact Female
A667311,Yellow,2013-09-01T00:00:00,Promise,Spayed Female
A690699,Blue/Tan,2014-06-17T00:00:00,Minnie,Intact Female
A682393,Seal Point,2014-04-27T00:00:00,*Bumble,Intact Female
A681039,Black,2014-05-27T00:00:00,,Unknown
A682532,Torbie,2014-04-14T00:00:00,,Spayed Female
A669918,Tan/White,2013-09-30T00:00:00,,Spayed Female
A683779,Black,2014-04-15T00:00:00,,Spayed Female
A678098,Black/White,2002-05-08T00:00:00,Shades,Neutered Male
A686829,Black,2014-08-05T00:00:00,,Intact Male
A677038,Buff,2012-04-22T00:00:00,*Penny,Spayed Female
A665344,Red/White,2009-10-16T00:00:00,Ginger,Spayed Female
A617061,Orange Tabby,2011-08-02T00:00:00,Pumpkin,Neutered Male
A675394,Black/White,2012-09-27T00:00:00,*Josh,Intact Male
A683068,Black/Brown,2013-07-06T00:00:00,,Unknown
A682085,Blue,2010-06-24T00:00:00,Winnie,Spayed Female
A673439,White/Black,2013-11-24T00:00:00,Aria,Spayed Female
A692877,Cream Tabby/White,2012-11-26T00:00:00,Snowflake,Neutered Male
A683856,Blue,2007-07-16T00:00:00,Smoke,Neutered Male
A647382,Black/White,2010-08-09T00:00:00,Oreo,Spayed Female
A683517,Calico,2014-06-05T00:00:00,*Dora,Intact Female
A660098,Brown Merle/White,2011-08-03T00:00:00,Delilah,Spayed Female
A693005,Brown,2013-11-29T00:00:00,Lex,Neutered Male
A688811,Brown Tabby,2013-09-24T00:00:00,,Intact Female
A680225,Calico,2012-05-31T00:00:00,,Intact Female
A662912,Chocolate,2013-08-10T00:00:00,*Cosmo,Neutered Male
A688352,White/Brown Brindle,2009-09-18T00:00:00,*Brody,Neutered Male
A545127,Black/White,2007-05-31T00:00:00,Ittybitty,Spayed Female
A661023,White,2010-08-15T00:00:00,Lucky,Neutered Male
A673648,White/Brown,2011-02-28T00:00:00,Coco,Intact Female
A674466,Fawn,2014-03-08T00:00:00,,Intact Male
A637480,Black,2012-06-26T00:00:00,Cal,Neutered Male
A677479,Brown/White,2013-04-25T00:00:00,Tinker Bell,Spayed Female
A664116,Blue Merle/White,2012-11-29T00:00:00,Maggie,Spayed Female
A677218,Brown Tabby,2014-03-21T00:00:00,,Intact Male
A691708,Brown Tabby/White,2014-08-01T00:00:00,,Intact Female
A688079,Yellow,2004-09-14T00:00:00,Honey,Spayed Female
A676606,Red/White,2013-12-17T00:00:00,*Boudreaux,Neutered Male
A666831,Buff,2012-11-07T00:00:00,Sam,Neutered Male
A683939,Blue/White,2014-03-02T00:00:00,*Maddie,Spayed Female
A619328,Tan,2011-11-18T00:00:00,Tobi,Neutered Male
A693212,Brown,2013-12-04T00:00:00,,Unknown
A682652,White,2014-04-22T00:00:00,,Intact Male
A680208,Brown/Black,2014-04-30T00:00:00,,Unknown
A670066,Torbie,2013-01-01T00:00:00,*Sophie,Spayed Female
A667511,Brown Tabby,2013-09-04T00:00:00,,Intact Female
A674267,Brown,2011-03-10T00:00:00,*Bambi,Spayed Female
A670730,Sable,2013-12-13T00:00:00,,Intact Male
A670656,Blue Tabby/White,2008-01-11T00:00:00,Mischief,Neutered Male
A669064,Black/Brown,2011-12-13T00:00:00,,Neutered Male
A680147,Cream,2014-05-29T00:00:00,,Intact Female
A688674,Black/White,2012-09-22T00:00:00,,Neutered Male
A677633,Black/White,2014-04-12T00:00:00,,Unknown
A667384,White/Tan,2013-09-02T00:00:00,,Spayed Female
A688532,Orange Tabby,2014-08-29T00:00:00,,Intact Male
A687769,Brown Tabby,2014-09-09T00:00:00,*Rose,Spayed Female
A676666,Black/Gray,2011-04-13T00:00:00,,Unknown
A678060,Brown Tabby,2014-03-19T00:00:00,,Spayed Female
A671481,Black/Tan,2013-12-14T00:00:00,Dutchess,Intact Female
A674053,Tan,2011-03-06T00:00:00,Ringo,Neutered Male
A688036,Blue Tabby,2012-09-13T00:00:00,,Neutered Male
A689091,Black,2014-08-04T00:00:00,*Reese,Spayed Female
A663623,Black,2013-06-06T00:00:00,*Monkey,Neutered Male
A676932,Black/Tan,2004-04-17T00:00:00,,Neutered Male
A693547,White/Brown,2014-06-12T00:00:00,Louie,Neutered Male
A663592,Brown,2013-07-21T00:00:00,Bevo,Neutered Male
A685713,Gray,2013-08-11T00:00:00,,Unknown
A675014,Brown,2013-03-21T00:00:00,,Unknown
A624436,White/Brown,2010-10-13T00:00:00,Chico,Neutered Male
A562649,White/Tricolor,2000-03-20T00:00:00,,Spayed Female
A673137,Black/White,2012-02-19T00:00:00,,Intact Female
A688904,Tan/White,2013-09-26T00:00:00,*Flicker,Spayed Female
A686842,Fawn/White,2012-08-27T00:00:00,*Herman,Neutered Male
A691706,Brown Tabby,2014-10-01T00:00:00,Lucy,Spayed Female
A668644,White/Tan,2012-06-06T00:00:00,Chuck,Neutered Male
A685249,Red,2008-08-04T00:00:00,Booger,Neutered Male
A667028,Orange Tabby,2012-11-11T00:00:00,*Mike,Neutered Male
A688773,White/Brown,2009-09-23T00:00:00,Chubs,Neutered Male
A675362,Cream,2014-01-11T00:00:00,,Intact Male
A672190,Brown Tabby,2012-02-05T00:00:00,*Magnolia,Spayed Female
A687138,White/Black,2014-08-06T00:00:00,*Winston,Neutered Male
A662261,Black/White,2013-07-24T00:00:00,*Kim,Neutered Male
A670525,Black/Brown,2009-01-09T00:00:00,*George,Neutered Male
A646578,Red/Brown,2010-01-26T00:00:00,Sonny,Neutered Male
A665799,Orange Tabby,2013-07-23T00:00:00,*Alley,Neutered Male
A673438,Brown Tabby,2012-02-24T00:00:00,,Unknown
A669140,Orange Tabby,2013-10-24T00:00:00,*Martin,Intact Male
A552202,White/Tan,2005-08-14T00:00:00,Delores,Intact Female
A675373,White/Brown Brindle,2012-03-26T00:00:00,Guzi,Intact Female
A687494,Brown,2005-09-05T00:00:00,Vince,Neutered Male
A669576,Brown Tabby/White,2005-12-23T00:00:00,,Intact Female
A673284,Gray/Brown,2013-08-21T00:00:00,,Unknown
A684123,Black/White,2013-11-19T00:00:00,Ruby,Spayed Female
A681482,Tricolor,2013-06-17T00:00:00,Chumino,Intact Male
A685582,Black/White,2014-07-18T00:00:00,,Intact Female
A664633,Brown/Black,2013-09-06T00:00:00,,Unknown
A681449,White/Brown,2010-06-16T00:00:00,Buster,Neutered Male
A684998,Black/White,2004-08-25T00:00:00,Tiki,Neutered Male
A664486,Orange Tabby,2013-08-04T00:00:00,*Taylor,Intact Female
A689192,Blue Tabby/White,2014-09-08T00:00:00,,Intact Male
A693898,Black/White,2013-06-16T00:00:00,*Raleigh,Neutered Male
A665019,Torbie,2005-10-12T00:00:00,*Amber,Spayed Female
A684110,Orange Tabby/White,2014-06-19T00:00:00,,Intact Female
A665719,Tan,2013-08-21T00:00:00,,Spayed Female
A677014,Blue/White,2011-04-18T00:00:00,Jenny,Spayed Female
A672839,Brown/White,2012-08-17T00:00:00,,Neutered Male
A677959,Blue Tabby,2014-04-01T00:00:00,,Spayed Female
A667121,Black/White,2010-11-12T00:00:00,Rockstar,Spayed Female
A680473,Brown Tabby,2014-04-26T00:00:00,*Libby,Spayed Female
A690900,Orange Tabby/White,2014-09-12T00:00:00,Rainy,Spayed Female
A650344,Brown/White,2013-01-27T00:00:00,Trixi,Spayed Female
A674808,White/Blue,2013-07-09T00:00:00,Rocko,Intact Male
A675177,Black,2013-03-24T00:00:00,*Drake,Neutered Male
A664437,Orange Tabby/White,2013-05-03T00:00:00,,Intact Male
A580635,Black/White,2010-01-02T00:00:00,Deuce,Neutered Male
A683017,Tan/White,2013-09-05T00:00:00,,Neutered Male
A691498,Tricolor,2012-11-05T00:00:00,Luna,Spayed Female
A688607,Black,2013-09-21T00:00:00,Zeus,Neutered Male
A665667,Red/Cream,2011-10-21T00:00:00,,Neutered Male
A678589,Tricolor/Brown,2014-03-02T00:00:00,,Neutered Male
A690027,Tricolor,2010-10-13T00:00:00,Harley,Spayed Female
A683956,Orange Tabby,2011-07-17T00:00:00,,Neutered Male
A664490,Black,2013-08-28T00:00:00,*Nikko,Neutered Male
A690029,Silver Tabby,2011-10-13T00:00:00,,Unknown
A666941,White,2011-11-09T00:00:00,*Pearl,Spayed Female
A678260,Blue Tabby,1999-05-06T00:00:00,,Intact Female
A679240,White/Brown,2014-03-26T00:00:00,*Jude,Neutered Male
A672918,Brown Tabby,2012-08-18T00:00:00,*Trinity,Spayed Female
A688771,Brown,2011-09-23T00:00:00,,Unknown
A681990,Brown Tabby,2014-05-31T00:00:00,,Intact Female
A683735,Black,2014-06-23T00:00:00,,Intact Female
A515757,Black,2004-07-20T00:00:00,Simba,Neutered Male
A685607,Flame Point,2014-07-25T00:00:00,,Intact Female
A592428,White/Brown,2006-01-23T00:00:00,Buddy,Neutered Male
A666001,Black/Tan,2008-10-25T00:00:00,Hershey,Spayed Female
A679736,Brown Tabby,2013-07-25T00:00:00,,Intact Female
A671106,Black,2013-03-18T00:00:00,,Unknown
A688062,Brown/White,2014-04-14T00:00:00,,Neutered Male
A678573,Orange Tabby/White,2013-06-10T00:00:00,*Orville,Neutered Male
A687004,Tan/White,2011-08-30T00:00:00,*Jenni,Spayed Female
A669193,Brown/White,2012-12-16T00:00:00,Daisy,Intact Female
A661614,White,2013-07-07T00:00:00,Biscuit,Spayed Female
A668531,Black/White,2013-10-04T00:00:00,*Hope,Intact Female
A684739,White/Brown,2014-03-27T00:00:00,Trisha,Spayed Female
A626164,Black,2012-04-16T00:00:00,Salem,Neutered Male
A663020,Black,2013-07-30T00:00:00,*June,Spayed Female
A669753,Brown Tabby,2012-12-26T00:00:00,*Ursula,Unknown
A687770,Torbie,2014-09-09T00:00:00,*Lily,Spayed Female
A580685,Brown Brindle/White,2009-11-06T00:00:00,Bella,Spayed Female
A685766,Brown/White,2014-06-12T00:00:00,Bosales,Spayed Female
A666264,Red Tick/Brown Merle,2013-08-29T00:00:00,Ash,Intact Female
A683813,Black/Tan,2010-07-16T00:00:00,Lilly,Spayed Female
A688206,Orange Tabby,2011-09-16T00:00:00,Garfield,Neutered Male
A667941,Black,2013-05-25T00:00:00,,Intact Female
A667359,White/Orange Tabby,2005-11-16T00:00:00,Garfield,Neutered Male
A689369,Red/White,2010-10-02T00:00:00,*Elmer,Neutered Male
A688884,White/Black,2014-02-25T00:00:00,Spud,Neutered Male
A677215,Chocolate/White,2013-04-21T00:00:00,*Hershey,Neutered Male
A625324,Tan/White,2010-04-23T00:00:00,Noname,Spayed Female
A675626,Black,2013-11-30T00:00:00,,Neutered Male
A686388,Blue,2014-03-01T00:00:00,Mina,Spayed Female
A675315,Tricolor,2011-03-26T00:00:00,*Greta,Spayed Female
A684824,Black/White,2014-06-29T00:00:00,*Michonne,Intact Female
A672456,Black/Blue Merle,2011-08-10T00:00:00,Dexter,Neutered Male
A686978,Seal Point,2014-03-29T00:00:00,,Intact Male
A672082,Blue/White,2012-02-03T00:00:00,Lola,Spayed Female
A680663,Torbie,2014-04-05T00:00:00,*Juliet,Spayed Female
A677147,White/Tan,2005-04-20T00:00:00,Joy,Spayed Female
A681042,Blue/White,2014-05-27T00:00:00,,Unknown
A680414,Blue Tabby/White,2014-04-17T00:00:00,*Twix,Neutered Male
A677404,Tan/White,2011-10-24T00:00:00,*Annie,Spayed Female
A673022,Brown/Black,2013-02-19T00:00:00,,Unknown
A683224,Blue,2014-05-24T00:00:00,,Intact Male
A671082,White/Black,2013-09-07T00:00:00,Mcnugget,Spayed Female
